rank,cv_f1_macro_mean,cv_f1_macro_std,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,class_weight,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
1,0.8970834786096799,0.0029554961687291,200,2,1,log2,,,0.9016450151928624,0.8925336183010976,0.8982793690792289,0.896421900542382,0.896537489932828
2,0.8965169561032142,0.0038756924460705,400,2,1,log2,,,0.9035140028691426,0.8925746697938979,0.8968480416999287,0.8932808091017721,0.8963672570513299
3,0.8964496288682376,0.0047443013916554,300,2,1,sqrt,,,0.9020084143998488,0.8885376206833927,0.9000203407730627,0.8941749183327242,0.89750685015216
4,0.8931296939583436,0.0030296869063128,100,5,2,sqrt,30.0,balanced,0.8986078594566236,0.8894059614921282,0.8923931453582274,0.8919286589573352,0.8933128445274038
5,0.8927419260178976,0.0040238405477021,400,10,1,sqrt,30.0,balanced,0.900071160819539,0.8876983963067725,0.8920325081847748,0.8917864883050202,0.892121076473381
6,0.8911989214937884,0.0033736615737179,200,5,1,log2,20.0,balanced,0.8943753340439905,0.8847367458897556,0.8924573365087645,0.8913699884107579,0.8930552026156743
7,0.8906548042766526,0.0044922024027264,100,2,1,,30.0,balanced,0.896463415766754,0.8878601258548339,0.8835260564559058,0.8925328774737084,0.8928915458320603
8,0.8903061808609543,0.0041909019898588,200,5,2,log2,20.0,balanced,0.8961995978313652,0.883211197014597,0.8913831815718786,0.891257128441392,0.8894797994455381
9,0.8895908582191335,0.0031084218844731,300,10,2,sqrt,,,0.8931200382859121,0.8838429359914617,0.8895818903140174,0.8902946616164722,0.8911147648878046
9,0.8895908582191335,0.0031084218844731,300,10,2,sqrt,,balanced,0.8931200382859121,0.8838429359914617,0.8895818903140174,0.8902946616164722,0.8911147648878046
11,0.8893221842039518,0.0040031624743407,400,2,2,,,,0.895316548948711,0.8849528208909576,0.8847649602145894,0.8906549735550042,0.8909216174104968
12,0.888312293687676,0.0038517524256679,200,2,2,,20.0,balanced,0.893827541683166,0.8828653246882568,0.8853882462231214,0.8888843766415258,0.89059597920231
13,0.8876863821672364,0.0060220593131591,200,5,4,sqrt,20.0,,0.8963230274060471,0.8781418418144994,0.8856013848956658,0.8910281175367674,0.8873375391832029
14,0.8869040889135007,0.0054418104716822,300,2,4,log2,,balanced,0.8972358877758162,0.8810645458878049,0.8857638746153478,0.8848394837359733,0.8856166525525611
15,0.8867322470270362,0.004386482816044,400,5,2,,20.0,balanced,0.8927359307346021,0.8830213921287672,0.8806070876398688,0.8877736154842716,0.8895232091476714
16,0.8866810446297879,0.0048839537882904,300,5,2,,20.0,,0.8934609780349207,0.8814720523472853,0.88072132426532,0.8881630554841352,0.8895878130172793
17,0.8864292479563824,0.0053281216961426,200,10,4,log2,,,0.8947989838060203,0.878808224790964,0.8838731461226678,0.8890129644671174,0.8856529205951427
18,0.8863854022861783,0.005650414446851,300,10,4,sqrt,30.0,balanced,0.8949772614314385,0.8780518926071901,0.8836246374343671,0.8893122629884107,0.8859609569694853
18,0.8863854022861783,0.005650414446851,300,10,4,sqrt,30.0,,0.8949772614314385,0.8780518926071901,0.8836246374343671,0.8893122629884107,0.8859609569694853
20,0.8862687284743977,0.0043115120788337,400,10,1,,30.0,,0.8901950937896109,0.8835315291473275,0.8792225586628474,0.890469299837451,0.8879251609347522
21,0.8860201960750462,0.0042271962827109,300,10,1,,30.0,,0.8897604882490779,0.8823772345087278,0.8796406639131105,0.8900705626969245,0.8882520310073901
22,0.8850123458884006,0.0035899062905117,200,10,2,,30.0,,0.8883444047842736,0.8846389061604123,0.8783137025767972,0.8876976338777824,0.8860670820427379
23,0.8847654886743245,0.0037488461560506,200,10,2,,,balanced,0.8883594643698881,0.8842364106806175,0.8778604619581541,0.8876905316167321,0.8856805747462304
24,0.8842370969015867,0.0040581191138187,100,10,4,log2,30.0,balanced,0.8902694266344112,0.8810505250957468,0.8801839992587522,0.8878937961348478,0.881787737384176
25,0.8837488613557362,0.0042355948887207,400,10,2,,20.0,balanced,0.8899222940199701,0.8820209311146981,0.877082664602677,0.885781267554901,0.8839371494864344
26,0.883462066560232,0.0040474288786271,200,2,4,,30.0,balanced,0.8876328699549522,0.8818041035570414,0.8768638958450864,0.887727696144566,0.8832817672995144
27,0.8673555467920699,0.006082058547952,300,5,2,,10.0,balanced,0.8762440410488072,0.8640707333348783,0.8580532642295908,0.8701507765636741,0.8682589187833996
28,0.8671048154349847,0.005752023770394,300,2,2,,10.0,,0.8758532205266151,0.8640532493335842,0.8586841654644988,0.8700423669678331,0.8668910748823927
29,0.8646051376123077,0.0064157016415721,100,2,4,,10.0,,0.8717648903721237,0.864264246791534,0.8527779278629365,0.8681101130174568,0.8661085100174882
30,0.8576375444985022,0.0059351740675336,400,10,2,sqrt,10.0,,0.8638701689638992,0.85142846365409,0.8629325452712155,0.8602958221596044,0.8496607224437015
31,0.8550250506989462,0.0054876126676674,200,5,2,log2,10.0,balanced,0.8562426173727763,0.8486499557540936,0.8641057963462933,0.8560874625950271,0.8500394214265408
32,0.8547931768336584,0.0040841394531855,200,2,4,sqrt,10.0,balanced,0.8551034916106615,0.8520641263268713,0.8619425450284035,0.8550311331659136,0.8498245880364425
33,0.8536218232834877,0.0058094122819531,100,10,4,sqrt,10.0,balanced,0.8566158095652403,0.8505494112086333,0.8592409979114343,0.8580423324407982,0.8436605652913322
34,0.8533111802361418,0.0059317610945765,400,5,4,log2,10.0,,0.8548280864719552,0.8494825054562261,0.8623148529414602,0.8552336378055658,0.8446968185055017
35,0.8505269852786583,0.0053721880043654,100,10,4,log2,10.0,balanced,0.8579661574851137,0.8450579667795275,0.8526452641070653,0.8532893180751218,0.8436762199464628
